sales_order_id,bp_id,customer_name,credit_limit,current_exposure,order_value,overdue_days,payment_terms,risk_category,status
SO-100293,BP-88301,Acme Industrial Corp,100000,85000,32000,45,NT30,HIGH,CREDIT_BLOCK
SO-100294,BP-88302,Globex Logistics,50000,42000,12500,12,NT30,MEDIUM,CREDIT_BLOCK
SO-100295,BP-88303,Stark Heavy Industries,500000,380000,150000,0,NT60,LOW,CREDIT_BLOCK
SO-100296,BP-88304,Wayne Enterprises,300000,290000,45000,60,NT30,HIGH,CREDIT_BLOCK
SO-100297,BP-88305,Umbrella Chemicals,75000,70000,18000,5,NT15,MEDIUM,CREDIT_BLOCK
SO-100298,BP-88306,Cyberdyne Systems,200000,110000,25000,0,NT30,LOW,RELEASED
SO-100299,BP-88307,Aperture Science,150000,148000,22000,35,NT45,HIGH,CREDIT_BLOCK
SO-100300,BP-88308,Initech Solutions,80000,30000,15000,0,NT30,LOW,RELEASED
SO-100301,BP-88309,Massive Dynamic,400000,395000,60000,18,NT30,MEDIUM,CREDIT_BLOCK
SO-100302,BP-88310,Soylent Corp,60000,58000,8000,90,NT15,HIGH,CREDIT_BLOCK
